                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1191,                 3.9747,                 1.2966,                0.49752,                 0.2053,                0.17881,                0.09132,                  1.896,                   2.23,                 1.1926,               0.070357,              0.0032937,              0.0032937
                      1,                 1.8592,                 2.0522,                  1.092,                0.26338,                0.21826,                0.18881,                0.08988,                 1.9647,                 2.4931,                 1.2233,               0.040292,              0.0065614,              0.0065614
                      2,                 1.9081,                 2.5227,                 1.1243,                0.41194,                0.20974,                0.17158,                0.07768,                  2.214,                 2.7997,                 1.3269,                0.01016,              0.0097631,              0.0097631
                      3,                 1.9655,                 2.2108,                 1.1522,                0.63512,                0.06595,                 0.0564,                0.02102,                 2.4965,                 2.7397,                 1.4727,               0.009703,               0.009703,               0.009703
                      4,                 2.1193,                 2.1354,                 1.2047,                0.24491,                0.17428,                0.09233,                0.03091,                 2.4004,                  3.392,                 1.4177,               0.009703,               0.009703,               0.009703
                      5,                 2.0933,                 2.0871,                 1.1917,                0.30771,                0.15726,                 0.1464,                0.05166,                 2.6165,                 2.7241,                 1.5224,               0.009604,               0.009604,               0.009604
                      6,                  2.206,                 2.2793,                 1.2494,                0.24423,                0.17778,                0.11652,                 0.0515,                  2.633,                 3.2158,                 1.5271,               0.009505,               0.009505,               0.009505
                      7,                  2.068,                 1.7926,                 1.1891,                0.38889,                0.20152,                0.15389,                0.05693,                 2.6714,                 2.3877,                 1.5143,               0.009406,               0.009406,               0.009406
                      8,                 2.1366,                  1.776,                 1.2094,                0.41628,                0.21918,                 0.1964,                  0.087,                 2.5396,                 2.2567,                 1.4982,               0.009307,               0.009307,               0.009307
                      9,                 2.1474,                 1.7032,                 1.2014,                0.32713,                0.16301,                0.14631,                0.05949,                 2.7784,                 3.1908,                 1.6626,               0.009208,               0.009208,               0.009208
                     10,                 2.0947,                 1.7162,                 1.1961,                 0.4774,                0.18524,                 0.1637,                0.06779,                 2.4867,                 3.0273,                 1.4867,               0.009109,               0.009109,               0.009109
                     11,                 2.0744,                 1.6331,                 1.2094,                 0.5222,                0.19315,                 0.1743,                 0.0594,                 2.8525,                 2.6672,                 1.5374,                0.00901,                0.00901,                0.00901
                     12,                 2.0878,                 1.6354,                 1.1889,                0.54735,                0.27443,                0.23521,                0.08745,                 2.4228,                 2.2006,                 1.3993,               0.008911,               0.008911,               0.008911
                     13,                 2.0526,                 1.5429,                  1.163,                0.33217,                0.21339,                0.15269,                0.07178,                 2.4453,                 2.3599,                 1.4745,               0.008812,               0.008812,               0.008812
                     14,                 2.0514,                 1.5635,                 1.1375,                0.53508,                0.23988,                0.20325,                0.08277,                 2.3226,                 2.1784,                 1.4214,               0.008713,               0.008713,               0.008713
                     15,                 2.0924,                 1.5461,                 1.1893,                0.41132,                0.23318,                0.19157,                0.07944,                 2.4735,                 2.2368,                 1.4443,               0.008614,               0.008614,               0.008614
                     16,                 2.0437,                 1.4641,                  1.172,                0.56833,                0.24825,                0.24142,                0.10616,                 2.2667,                 1.9313,                 1.4432,               0.008515,               0.008515,               0.008515
                     17,                 2.0013,                 1.4778,                 1.1882,                0.59788,                0.25168,                0.26944,                0.12053,                 2.2847,                 1.8856,                 1.4097,               0.008416,               0.008416,               0.008416
                     18,                 1.9747,                 1.4207,                 1.1627,                0.48872,                 0.2471,                 0.1991,                0.07693,                 2.4103,                 2.1994,                 1.4495,               0.008317,               0.008317,               0.008317
                     19,                 1.9461,                   1.41,                 1.1216,                0.55119,                0.25784,                0.25882,                0.09753,                 2.2806,                 1.8254,                 1.3688,               0.008218,               0.008218,               0.008218
                     20,                 1.9537,                 1.3247,                 1.1287,                0.49206,                0.28691,                0.25391,                0.11006,                 2.3887,                 1.8356,                 1.4869,               0.008119,               0.008119,               0.008119
                     21,                 1.9211,                 1.3032,                 1.1216,                 0.6533,                0.21537,                0.23027,                0.07009,                 2.3641,                 1.9227,                 1.4056,                0.00802,                0.00802,                0.00802
                     22,                 1.9824,                   1.35,                 1.1705,                0.57414,                0.27662,                0.27012,                0.10899,                  2.388,                 1.8418,                 1.3947,               0.007921,               0.007921,               0.007921
                     23,                 1.8515,                 1.2698,                 1.1127,                  0.588,                0.26484,                 0.2574,                0.12363,                 2.3575,                 1.8728,                 1.4602,               0.007822,               0.007822,               0.007822
                     24,                 1.9047,                 1.2955,                 1.1269,                0.59129,                0.26073,                0.27773,                0.10739,                 2.3181,                 1.8322,                 1.4034,               0.007723,               0.007723,               0.007723
                     25,                 1.8028,                 1.2001,                 1.1203,                0.67271,                0.27854,                0.28363,                0.12452,                  2.246,                 1.6552,                 1.3777,               0.007624,               0.007624,               0.007624
                     26,                 1.8719,                 1.2799,                 1.0872,                0.69417,                0.25236,                 0.2915,                0.12972,                  2.235,                 1.8211,                 1.3427,               0.007525,               0.007525,               0.007525
