                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4698,                 4.7472,                 1.7204,                0.56677,                0.33831,                 0.3455,                0.18852,                  1.652,                 1.8686,                 1.2439,               0.070178,              0.0033136,              0.0033136
                      1,                 2.2829,                 3.0259,                 1.5433,                0.52526,                0.28757,                0.32512,                0.16791,                 1.6938,                 2.2541,                 1.1882,               0.040112,              0.0065811,              0.0065811
                      2,                 2.3166,                 3.3241,                 1.5641,                0.53992,                0.29781,                0.30521,                0.15138,                 1.7993,                 1.9986,                 1.2611,              0.0099799,              0.0097827,              0.0097827
                      3,                 2.4684,                 4.4851,                  1.573,                 0.6697,                0.14957,                0.28529,                0.14046,                  1.913,                 2.6299,                 1.2831,               0.009703,               0.009703,               0.009703
                      4,                 2.5061,                 3.3822,                 1.6393,                0.75204,                0.12963,                0.17423,                 0.0777,                 1.9511,                 2.6899,                 1.3406,               0.009703,               0.009703,               0.009703
                      5,                 2.6114,                 3.1505,                 1.6436,                0.35379,                0.26327,                0.21846,                0.08406,                 2.0237,                 2.1647,                 1.3555,               0.009604,               0.009604,               0.009604
                      6,                 2.5256,                 2.8233,                 1.6061,                0.40492,                0.30484,                0.24838,                0.08855,                 1.9818,                 2.2227,                 1.3126,               0.009505,               0.009505,               0.009505
                      7,                 2.7148,                 3.0281,                 1.7123,                0.53691,                0.32158,                0.31793,                0.14023,                 2.0779,                 2.0775,                 1.4373,               0.009406,               0.009406,               0.009406
                      8,                 2.5978,                 2.7287,                 1.6671,                0.42147,                0.35078,                 0.2969,                0.13286,                 2.0333,                 2.0718,                 1.4425,               0.009307,               0.009307,               0.009307
                      9,                 2.6351,                 2.7056,                 1.6818,                0.59702,                0.31165,                0.33648,                0.16015,                  2.019,                  2.281,                  1.438,               0.009208,               0.009208,               0.009208
