                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4589,                 2.0821,                 1.2204,                0.39106,                0.26515,                0.18114,                0.06576,                 2.7068,                 1.9246,                 1.4505,               0.008911,               0.008911,               0.008911
                     35,                 2.3021,                 1.8881,                 1.1163,                0.44533,                0.28375,                0.26067,                 0.0991,                 2.5899,                 1.8756,                 1.4204,               0.008878,               0.008878,               0.008878
                     36,                 2.5017,                 1.9641,                 1.1982,                0.40701,                0.28842,                0.23412,                0.08384,                 2.4913,                 1.9572,                 1.3301,               0.008845,               0.008845,               0.008845
                     37,                 2.2574,                 1.8486,                 1.1699,                 0.4755,                0.30062,                 0.2721,                0.10666,                 2.5106,                 1.8766,                 1.3345,               0.008812,               0.008812,               0.008812
                     38,                 2.4047,                 1.8886,                 1.2152,                0.50279,                0.29614,                0.28649,                0.11858,                 2.4157,                 1.7923,                 1.3438,               0.008779,               0.008779,               0.008779
                     39,                 2.3338,                 1.8111,                 1.1683,                0.50284,                0.30694,                0.29539,                0.11663,                 2.4971,                 1.8186,                 1.3575,               0.008746,               0.008746,               0.008746
                     40,                 2.2864,                 1.7467,                 1.0877,                0.34548,                0.29154,                0.23321,                0.09241,                 2.4617,                 1.9037,                 1.3884,               0.008713,               0.008713,               0.008713
                     41,                 2.4336,                 1.7433,                 1.1579,                0.50526,                 0.2776,                0.24922,                0.10176,                 2.4116,                 1.8943,                 1.3377,                0.00868,                0.00868,                0.00868
                     42,                 2.3833,                 1.8237,                 1.1296,                0.48021,                0.35745,                0.29292,                0.12672,                   2.44,                 1.6891,                 1.3164,               0.008647,               0.008647,               0.008647
                     43,                 2.2336,                 1.7729,                  1.086,                0.59815,                0.28989,                0.29399,                0.10604,                 2.4728,                 1.8015,                 1.3179,               0.008614,               0.008614,               0.008614
                     44,                  2.271,                 1.7174,                 1.1132,                0.60833,                0.29474,                0.29594,                0.11707,                 2.4492,                 1.7366,                 1.3209,               0.008581,               0.008581,               0.008581
                     45,                 2.2653,                 1.7145,                 1.1163,                 0.5708,                0.32243,                0.30645,                0.12324,                 2.3827,                 1.6948,                 1.2753,               0.008548,               0.008548,               0.008548
                     46,                 2.2949,                 1.7076,                 1.0937,                0.57306,                0.35288,                0.29624,                0.11447,                 2.4944,                 1.7312,                 1.3123,               0.008515,               0.008515,               0.008515
                     47,                 2.3026,                   1.67,                  1.138,                0.51704,                0.29264,                0.28404,                0.11591,                  2.395,                 1.8194,                 1.3006,               0.008482,               0.008482,               0.008482
                     48,                 2.1968,                 1.6897,                 1.0825,                0.65295,                0.36007,                0.32946,                0.13012,                 2.3796,                 1.5906,                 1.2727,               0.008449,               0.008449,               0.008449
                     49,                 2.2308,                 1.7705,                 1.1494,                 0.4877,                 0.3284,                0.28597,                0.11646,                 2.3975,                 1.8149,                 1.2959,               0.008416,               0.008416,               0.008416
                     50,                 2.3264,                 1.6952,                 1.1099,                0.48217,                0.26229,                0.26799,                0.10527,                 2.4312,                 1.8199,                 1.2642,               0.008383,               0.008383,               0.008383
                     51,                 2.2013,                 1.6996,                  1.102,                 0.4574,                 0.2963,                 0.2744,                0.10529,                 2.3847,                 1.7664,                 1.2872,                0.00835,                0.00835,                0.00835
                     52,                 2.2472,                 1.6641,                 1.0584,                0.58713,                0.27137,                0.27894,                0.12076,                  2.352,                 1.6707,                 1.3386,               0.008317,               0.008317,               0.008317
                     53,                 2.1747,                 1.6848,                 1.1253,                0.59695,                0.30521,                0.32465,                0.13704,                 2.3417,                 1.6201,                 1.3152,               0.008284,               0.008284,               0.008284
                     54,                 2.2453,                 1.6121,                 1.0531,                0.46016,                0.30711,                0.28929,                0.11427,                 2.4232,                 1.6938,                 1.2477,               0.008251,               0.008251,               0.008251
                     55,                 2.2572,                 1.6454,                 1.0594,                 0.5502,                0.29244,                0.29418,                0.12229,                 2.3768,                 1.6891,                 1.2898,               0.008218,               0.008218,               0.008218
                     56,                 2.2864,                 1.6899,                 1.0878,                0.51358,                0.33506,                0.30682,                0.12127,                 2.4026,                 1.6327,                 1.3161,               0.008185,               0.008185,               0.008185
                     57,                 2.2115,                 1.6862,                 1.1518,                0.48834,                0.36596,                0.32058,                0.14292,                 2.3054,                 1.5259,                 1.2416,               0.008152,               0.008152,               0.008152
                     58,                 2.3722,                 1.7154,                 1.1483,                0.40037,                 0.3445,                0.28016,                0.11867,                 2.2084,                 1.6652,                 1.2049,               0.008119,               0.008119,               0.008119
                     59,                 2.1333,                 1.5204,                 1.0672,                0.52906,                0.29768,                 0.2948,                0.12477,                 2.1896,                 1.5696,                 1.2036,               0.008086,               0.008086,               0.008086
                     60,                 2.1943,                 1.6132,                 1.1093,                0.47109,                 0.3535,                0.29638,                0.12007,                 2.2625,                 1.5418,                  1.212,               0.008053,               0.008053,               0.008053
                     61,                 2.2698,                 1.6325,                 1.0661,                0.44952,                 0.3271,                0.26898,                 0.1155,                 2.3815,                 1.5999,                 1.2921,                0.00802,                0.00802,                0.00802
                     62,                 2.2869,                 1.6058,                 1.1058,                0.46065,                0.34069,                0.30109,                0.13213,                  2.312,                 1.5731,                 1.2689,               0.007987,               0.007987,               0.007987
                     63,                 2.0912,                 1.5756,                 1.0914,                0.56493,                0.33178,                0.31743,                 0.1447,                 2.3616,                 1.5825,                 1.2449,               0.007954,               0.007954,               0.007954
                     64,                  2.104,                 1.5657,                 1.0557,                0.47842,                0.33974,                0.31506,                 0.1476,                 2.2164,                 1.6982,                  1.223,               0.007921,               0.007921,               0.007921
                     65,                 2.1012,                 1.5099,                 1.0928,                0.49565,                0.32113,                0.31235,                 0.1346,                 2.3055,                 1.6402,                 1.2318,               0.007888,               0.007888,               0.007888
                     66,                 2.1688,                 1.5852,                 1.0386,                0.54161,                 0.3257,                0.32227,                0.13111,                 2.2965,                 1.6743,                 1.2205,               0.007855,               0.007855,               0.007855
                     67,                 2.0382,                 1.3965,                 1.0525,                0.65798,                0.33367,                0.34116,                0.13932,                 2.3118,                 1.6623,                 1.2384,               0.007822,               0.007822,               0.007822
                     68,                 2.1865,                 1.5781,                 1.0763,                0.56107,                  0.383,                0.36529,                0.14001,                 2.2906,                 1.6818,                 1.2449,               0.007789,               0.007789,               0.007789
                     69,                 2.1072,                 1.4695,                  1.048,                0.60289,                0.37504,                0.36817,                0.15381,                 2.2378,                   1.61,                 1.1818,               0.007756,               0.007756,               0.007756
                     70,                 1.9929,                 1.4307,                 1.0129,                0.57794,                0.37884,                0.38197,                 0.1714,                 2.1707,                 1.4744,                 1.1692,               0.007723,               0.007723,               0.007723
                     71,                 1.9725,                 1.3443,                0.95999,                0.52407,                0.39226,                0.35594,                0.15628,                 2.2521,                 1.5715,                 1.1869,                0.00769,                0.00769,                0.00769
                     72,                  2.102,                 1.4447,                0.99698,                0.51623,                0.35038,                0.34613,                0.16161,                 2.2642,                 1.6493,                 1.2135,               0.007657,               0.007657,               0.007657
                     73,                 1.9896,                 1.4314,                 1.0394,                0.48057,                0.38532,                0.35215,                0.15932,                 2.2424,                 1.5925,                 1.2328,               0.007624,               0.007624,               0.007624
                     74,                 2.0315,                 1.4937,                 1.0343,                0.52406,                0.33325,                0.34175,                 0.1695,                 2.1958,                 1.5954,                 1.1847,               0.007591,               0.007591,               0.007591
